Order_ID,Order_Date,Customer_ID,Customer_Type,Customer_Since,Region,Acquisition_Channel,Campaign_Name,Impressions,Clicks,Adds_To_Cart,Ad_Spend,Product_Category,Product_Name,Units_Sold,Unit_Price,Revenue,Stock_Level,Reorder_Point,Delivery_Time_Days,Delivery_Status,Return_Flag,Return_Reason,Shipping_Cost,COGS,Profit,Margin %,WeightKg,Country,Adjusted_Delivery_Time_Days
O1005592,08/12/2024,C101297,Returning,13/07/2024,EU,Organic,ORG_Dec_Community,0,0,0,0,Weight Vests,10kg Weighted Vest,2,107.27,214.54,-2,36,4,On-time,No,,12.14,148,54.4,0.25,10.00,Sweden,2.00
O1000680,19/02/2024,C101393,Returning,31/05/2024,EU,Instagram,IG_Feb_Reels,250,3,1,63.45,Dip Bars,Steel Dip Bars,2,98.01,196.02,149,27,4,On-time,No,,11.91,96,88.11,0.45,5.00,Italy,2.00
O1005507,04/12/2024,C101922,Returning,25/06/2024,Domestic,TikTok,TT_Dec_Challenge,111,2,1,28.2,Static Bar,Adjustable Static Bar,1,143.51,143.51,-1,18,3,On-time,No,,8.86,93,41.65,0.29,8.00,Germany,1.50
O1001212,27/03/2024,C101415,Returning,13/04/2024,Non-EU,Organic,ORG_Mar_Blog,0,0,0,0,Equipment Sets,Advanced Athlete Set,2,216.04,432.08,106,22,5,On-time,No,,20.14,214,197.94,0.46,9.00,Switzerland,2.50
O1000123,09/01/2024,C101726,Returning,11/10/2024,Domestic,Instagram,IG_Jan_Reels,83,1,1,21.15,Weight Vests,10kg Weighted Vest,2,123.26,246.52,231,36,3,On-time,No,,10.68,148,87.84,0.36,10.00,Germany,1.50
O1002869,29/06/2024,C101841,Returning,01/05/2024,Domestic,TikTok,TT_Jun_Challenge,111,2,1,28.2,Weight Vests,10kg Weighted Vest,1,105.64,105.64,97,36,3,On-time,No,,10.71,74,20.93,0.20,10.00,Germany,1.50
O1004348,30/09/2024,C100579,Returning,09/03/2024,EU,TikTok,TT_Sep_Challenge,167,3,1,42.3,Workout Accessories,Chalk Block,1,17.1,17.1,45,67,4,On-time,Yes,Size,8.54,4,4.56,0.27,0.30,Spain,2.00
O1004130,17/09/2024,C100073,Returning,26/09/2024,EU,Google,GG_Sep_Shopping,50,1,1,25.85,Equipment Sets,Advanced Athlete Set,2,193.15,386.3,20,22,3,On-time,No,,13.91,214,158.39,0.41,9.00,France,1.50
O1005781,17/12/2024,C100545,Returning,08/04/2024,Domestic,Organic,ORG_Dec_Blog,0,0,0,0,Clothing,Performance T-Shirt,1,40.35,40.35,-1,120,3,On-time,No,,5.89,11,23.46,0.58,0.30,Germany,1.50
O1003247,22/07/2024,C101237,Returning,14/06/2024,Domestic,Organic,ORG_Jul_Community,0,0,0,0,Equipment Sets,Beginner Home Workout Set,1,127.29,127.29,49,22,1,On-time,No,,7.14,81,39.15,0.31,6.00,Germany,0.50
O1001211,27/03/2024,C100224,Returning,02/05/2024,EU,Instagram,IG_Mar_Giveaway,167,2,1,42.3,Dip Belt,Weighted Dip Belt,1,47.59,47.59,178,37,4,On-time,No,,9.99,19,18.6,0.39,0.80,Sweden,2.00
O1000568,11/02/2024,C100222,Returning,21/07/2024,Domestic,Instagram,IG_Feb_AthleteDrop,83,1,1,21.15,Clothing,Oversized Hoodie,1,73.82,73.82,689,120,3,On-time,No,,6.6,25,42.22,0.57,0.70,Germany,1.50
O1002403,05/06/2024,C100968,Returning,07/08/2024,Domestic,Instagram,IG_Jun_Reels,83,1,1,21.15,Resistance Bands,Set of 5 Resistance Bands,1,39.96,39.96,242,75,3,On-time,No,,6.49,13,20.47,0.51,0.90,Germany,1.50
O1000549,09/02/2024,C100398,Returning,03/03/2024,Domestic,Instagram,IG_Feb_Giveaway,167,2,1,42.3,Clothing,Oversized Hoodie,1,60.86,60.86,695,120,1,On-time,No,,5.71,25,30.15,0.50,0.70,Germany,0.50
O1005303,23/11/2024,C101919,Returning,20/01/2024,Domestic,Organic,ORG_Nov_Direct,0,0,0,0,Equipment Sets,Advanced Athlete Set,2,184.14,368.28,-2,22,2,On-time,No,,9.99,214,144.29,0.39,9.00,Germany,1.00
O1000865,03/03/2024,C100296,New,26/07/2024,Domestic,Instagram,IG_Mar_Reels,167,2,1,42.3,Clothing,Oversized Hoodie,1,72.3,72.3,634,120,1,On-time,No,,6.05,25,41.25,0.57,0.70,Germany,0.50
O1004587,14/10/2024,C101114,New,09/05/2024,EU,Instagram,IG_Oct_Reels,83,1,2,21.15,Bandages,Elbow Support,1,20.48,20.48,33,90,2,On-time,No,,10.05,9,1.43,0.07,0.25,Belgium,1.00
O1001393,06/04/2024,C101872,Returning,06/07/2024,Domestic,TikTok,TT_Apr_SparkAds,56,1,1,14.1,Workout Accessories,Chalk Block,2,13.42,26.84,305,67,1,On-time,No,,5.73,8,13.11,0.49,0.30,Germany,0.50
O1004546,11/10/2024,C100563,Returning,24/03/2024,EU,TikTok,TT_Oct_Challenge,56,1,1,14.1,Weight Vests,10kg Weighted Vest,1,137.54,137.54,15,36,2,On-time,No,,14.52,74,49.02,0.36,10.00,France,1.00
O1002487,09/06/2024,C100720,Returning,30/12/2024,EU,Instagram,IG_Jun_Giveaway,83,1,1,21.15,Pull Up Bars,Doorway Pull-Up Bar,2,89.89,179.78,93,30,3,On-time,No,,11.73,100,68.05,0.38,4.00,Spain,1.50
O1002068,17/05/2024,C101431,Returning,17/01/2024,Domestic,Instagram,IG_May_AthleteDrop,83,1,2,21.15,Better Grip,Liquid Chalk,2,11.6,23.2,382,105,2,On-time,No,,6.28,8,8.92,0.38,0.35,Germany,1.00
O1002346,02/06/2024,C101191,New,31/05/2024,EU,Organic,ORG_Jun_Direct,0,0,0,0,Bandages,Elbow Support,1,21.02,21.02,297,90,4,On-time,No,,8.73,9,3.29,0.16,0.25,Sweden,2.00
O1004459,05/10/2024,C101539,Returning,28/10/2024,Domestic,TikTok,TT_Oct_SparkAds,111,2,1,28.2,Pull Up Bars,Outdoor Pull-Up Bar,3,146.1,438.3,15,30,1,On-time,No,,7.27,234,197.03,0.45,7.00,Germany,0.50
O1000721,23/02/2024,C101929,Returning,06/03/2024,EU,Instagram,IG_Feb_AthleteDrop,83,1,1,21.15,Weight Vests,10kg Weighted Vest,1,137.59,137.59,197,36,5,On-time,No,,12.16,74,51.43,0.37,10.00,Spain,2.50
O1003922,05/09/2024,C101792,Returning,09/12/2024,Domestic,Instagram,IG_Sep_AthleteDrop,83,1,1,21.15,Dip Bars,Steel Dip Bars,1,102.73,102.73,33,27,2,On-time,No,,6.71,48,48.02,0.47,5.00,Germany,1.00
O1002945,05/07/2024,C100450,New,05/04/2024,Domestic,Instagram,IG_Jul_Giveaway,83,1,1,21.15,Parallettes,Wooden Parallettes,1,67.44,67.44,116,45,1,On-time,No,,6.95,30,30.49,0.45,2.20,Germany,0.50
O1000691,19/02/2024,C101606,Returning,03/05/2024,Domestic,Organic,ORG_Feb_Blog,0,0,0,0,Workout Rings,Wooden Gymnastic Rings,1,48.15,48.15,334,60,3,On-time,No,,6.29,16,25.86,0.54,1.10,Germany,1.50
O1002465,08/06/2024,C100214,Returning,09/05/2024,Domestic,Google,GG_Jun_Shopping,50,1,1,25.85,Workout Accessories,Chalk Block,1,17,17,213,67,1,On-time,Yes,Size,5.67,4,7.33,0.43,0.30,Germany,0.50
O1001774,01/05/2024,C101338,Returning,15/03/2024,Domestic,TikTok,TT_May_Challenge,111,2,1,28.2,Equipment Sets,Beginner Home Workout Set,1,144.34,144.34,89,22,1,On-time,No,,7.83,81,55.51,0.38,6.00,Germany,0.50
O1000603,13/02/2024,C100096,Returning,22/11/2024,EU,Organic,ORG_Feb_Blog,0,0,0,0,Workout Accessories,Athlete Backpack,1,41.81,41.81,385,67,4,On-time,No,,10.5,19,12.31,0.29,0.90,France,2.00
O1005527,05/12/2024,C101363,New,24/08/2024,EU,Instagram,IG_Dec_Reels,83,1,2,21.15,Dip Belt,Weighted Dip Belt,1,38.27,38.27,-1,37,3,On-time,No,,10.1,19,9.17,0.24,0.80,Spain,1.50
O1004216,22/09/2024,C101547,Returning,21/02/2024,Domestic,Instagram,IG_Sep_AthleteDrop,167,2,1,42.3,Clothing,Joggers,1,72.5,72.5,102,120,1,On-time,No,,5.06,21,46.44,0.64,0.60,Germany,0.50
O1006024,29/12/2024,C100076,Returning,27/09/2024,EU,TikTok,TT_Dec_Creators,56,1,1,14.1,Static Bar,Adjustable Static Bar,1,168.17,168.17,-1,18,4,On-time,No,,11.44,93,63.73,0.38,8.00,Belgium,2.00
O1005145,15/11/2024,C101705,Returning,11/07/2024,Domestic,TikTok,TT_Nov_Creators,167,3,1,42.3,Parallettes,Wooden Parallettes,2,51.05,102.1,-2,45,3,On-time,No,,7.54,60,34.56,0.34,2.20,Germany,1.50
O1005981,27/12/2024,C101050,Returning,11/05/2024,Non-EU,TikTok,TT_Dec_SparkAds,56,1,1,14.1,Pull Up Bars,Doorway Pull-Up Bar,1,96.35,96.35,-1,30,5,On-time,No,,18.05,50,28.3,0.29,4.00,Norway,2.50
O1000504,06/02/2024,C101607,Returning,07/02/2024,Domestic,Google,GG_Feb_Shopping,150,3,1,77.55,Bandages,Elbow Support,1,23.09,23.09,527,90,2,On-time,No,,5.38,9,8.71,0.38,0.25,Germany,1.00
O1005589,08/12/2024,C101155,Returning,22/10/2024,Domestic,Instagram,IG_Dec_Giveaway,83,1,1,21.15,Weight Vests,20kg Weighted Vest,1,162.5,162.5,-1,36,2,On-time,No,,12.66,98,51.84,0.32,20.00,Germany,1.00
O1000319,24/01/2024,C101189,Returning,27/06/2024,Non-EU,Instagram,IG_Jan_Reels,83,1,1,21.15,Clothing,Joggers,1,64.88,64.88,737,120,5,On-time,No,,13.28,21,30.6,0.47,0.60,USA,2.50
O1001927,10/05/2024,C101235,Returning,23/04/2024,EU,Instagram,IG_May_Giveaway,167,2,1,42.3,Workout Accessories,Athlete Backpack,1,39.59,39.59,256,67,4,On-time,No,,10.35,19,10.24,0.26,0.90,France,2.00
O1001894,08/05/2024,C100945,Returning,29/05/2024,EU,Instagram,IG_May_Giveaway,167,2,1,42.3,Pull Up Bars,Outdoor Pull-Up Bar,1,141.63,141.63,115,30,3,On-time,No,,12.68,78,50.95,0.36,7.00,France,1.50
O1000275,21/01/2024,C100637,New,19/01/2024,EU,TikTok,TT_Jan_Challenge,56,1,1,14.1,Parallettes,Wooden Parallettes,1,55.11,55.11,279,45,4,On-time,No,,7.4,30,17.71,0.32,2.20,Poland,2.00
O1005210,18/11/2024,C100223,New,02/07/2024,Domestic,Instagram,IG_Nov_AthleteDrop,83,1,1,21.15,Static Bar,Adjustable Static Bar,1,160.07,160.07,-1,18,1,On-time,No,,8.73,93,58.34,0.36,8.00,Germany,0.50
O1005822,19/12/2024,C100107,Returning,18/08/2024,Domestic,TikTok,TT_Dec_Creators,111,2,1,28.2,Bandages,Wrist Wraps,1,23.09,23.09,-1,90,3,On-time,No,,4.88,6,12.21,0.53,0.20,Germany,1.50
O1001362,04/04/2024,C100501,Returning,03/09/2024,EU,TikTok,TT_Apr_SparkAds,56,1,1,14.1,Parallettes,Wooden Parallettes,1,62.67,62.67,206,45,3,On-time,No,,7.62,30,25.05,0.40,2.20,Netherlands,1.50
O1001892,08/05/2024,C101402,Returning,14/08/2024,EU,TikTok,TT_May_Creators,111,2,1,28.2,Resistance Bands,Set of 5 Resistance Bands,1,43.3,43.3,288,75,5,On-time,No,,9.05,13,21.25,0.49,0.90,Sweden,2.50
O1001527,15/04/2024,C101434,New,06/11/2024,EU,Google,GG_Apr_Search,50,1,1,25.85,Workout Accessories,Athlete Backpack,2,55.47,110.94,292,67,4,On-time,No,,10.09,38,62.85,0.57,0.90,Belgium,2.00
O1004714,22/10/2024,C101376,Returning,18/10/2024,EU,Organic,ORG_Oct_Direct,0,0,0,0,Weight Vests,10kg Weighted Vest,1,117.18,117.18,7,36,6,Late,No,,14.94,74,28.24,0.24,10.00,Italy,3.00
O1004652,18/10/2024,C100706,Returning,07/08/2024,Domestic,TikTok,TT_Oct_Creators,56,1,1,14.1,Clothing,Oversized Hoodie,1,62.67,62.67,34,120,2,On-time,No,,5.3,25,32.37,0.52,0.70,Germany,1.00
O1004443,05/10/2024,C101474,Returning,29/09/2024,Domestic,TikTok,TT_Oct_SparkAds,167,3,1,42.3,Pull Up Bars,Doorway Pull-Up Bar,1,91.44,91.44,17,30,2,On-time,No,,5.76,50,35.68,0.39,4.00,Germany,1.00
O1002776,24/06/2024,C101706,Returning,22/01/2024,Domestic,Instagram,IG_Jun_Reels,250,3,1,63.45,Workout Accessories,Chalk Block,1,12.34,12.34,190,67,4,Late,No,,6.41,4,1.93,0.16,0.30,Germany,2.00
O1003018,08/07/2024,C101675,Returning,15/02/2024,EU,Instagram,IG_Jul_Reels,83,1,1,21.15,Resistance Bands,Set of 5 Resistance Bands,1,30.01,30.01,188,75,4,On-time,No,,9.53,13,7.48,0.25,0.90,France,2.00
O1003961,07/09/2024,C100924,Returning,18/04/2024,Domestic,Instagram,IG_Sep_Giveaway,83,1,1,21.15,Resistance Bands,Set of 5 Resistance Bands,1,32.64,32.64,88,75,3,On-time,No,,5.65,13,13.99,0.43,0.90,Germany,1.50
O1006003,29/12/2024,C101303,Returning,09/08/2024,EU,Google,GG_Dec_Search,50,1,1,25.85,Static Bar,Adjustable Static Bar,1,143.51,143.51,-1,18,3,On-time,No,,12.02,93,38.49,0.27,8.00,France,1.50
O1003635,17/08/2024,C100923,Returning,20/08/2024,Domestic,Instagram,IG_Aug_Reels,250,3,2,63.45,Workout Accessories,Athlete Backpack,1,44.34,44.34,110,67,2,On-time,No,,4.42,19,20.92,0.47,0.90,Germany,1.00
O1000946,08/03/2024,C100519,Returning,12/01/2024,Domestic,Instagram,IG_Mar_Reels,83,1,1,21.15,Parallettes,Wooden Parallettes,1,50.11,50.11,233,45,2,On-time,No,,6.17,30,13.94,0.28,2.20,Germany,1.00
O1004765,24/10/2024,C101256,Returning,03/09/2024,Domestic,TikTok,TT_Oct_SparkAds,111,2,1,28.2,Clothing,Training Tank,1,27.46,27.46,18,120,2,On-time,No,,5.2,10,12.26,0.45,0.25,Germany,1.00
O1005847,20/12/2024,C101239,Returning,11/05/2024,Non-EU,Instagram,IG_Dec_Reels,167,2,1,42.3,Workout Rings,Wooden Gymnastic Rings,1,32.33,32.33,-1,60,5,On-time,No,,15.22,16,1.11,0.03,1.10,USA,2.50
O1000296,22/01/2024,C100569,Returning,09/04/2024,EU,Instagram,IG_Jan_Reels,167,2,2,42.3,Static Bar,Adjustable Static Bar,2,174.78,349.56,110,18,4,On-time,No,,12.44,186,151.12,0.43,8.00,Italy,2.00
O1005044,10/11/2024,C101068,Returning,24/05/2024,EU,TikTok,TT_Nov_Creators,111,2,2,28.2,Parallettes,Steel Parallettes,2,60.21,120.42,-2,45,3,On-time,No,,8.89,78,33.53,0.28,3.80,Netherlands,1.50
O1002516,11/06/2024,C100677,New,22/05/2024,EU,Google,GG_Jun_Search,50,1,1,25.85,Workout Rings,Wooden Gymnastic Rings,2,36.45,72.9,185,60,6,Late,No,,7.2,32,33.7,0.46,1.10,France,3.00
O1000299,22/01/2024,C101360,New,16/06/2024,Non-EU,Google,GG_Jan_Shopping,50,1,2,25.85,Equipment Sets,Advanced Athlete Set,1,150.24,150.24,139,22,5,On-time,Yes,Customs,18.37,107,24.87,0.17,9.00,Canada,2.50
O1000069,05/01/2024,C100105,New,15/10/2024,EU,Instagram,IG_Jan_AthleteDrop,83,1,1,21.15,Clothing,Performance T-Shirt,1,42.56,42.56,786,120,4,On-time,Yes,Size,6.66,11,24.9,0.59,0.30,Poland,2.00
O1004437,04/10/2024,C100442,New,05/10/2024,Domestic,TikTok,TT_Oct_Challenge,56,1,1,14.1,Static Bar,Adjustable Static Bar,1,161.98,161.98,10,18,1,On-time,No,,7.25,93,61.73,0.38,8.00,Germany,0.50
O1000737,24/02/2024,C101347,New,17/01/2024,Non-EU,Instagram,IG_Feb_AthleteDrop,83,1,1,21.15,Clothing,Performance T-Shirt,3,37.67,113.01,653,120,6,On-time,No,,14.16,33,65.85,0.58,0.30,Australia,3.00
O1001599,20/04/2024,C101565,Returning,05/01/2024,Non-EU,TikTok,TT_Apr_Challenge,111,2,1,28.2,Static Bar,Adjustable Static Bar,1,131.71,131.71,76,18,9,Late,No,,22.88,93,15.83,0.12,8.00,Norway,4.50
O1002419,06/06/2024,C100723,Returning,15/10/2024,EU,TikTok,TT_Jun_SparkAds,56,1,1,14.1,Parallettes,Wooden Parallettes,1,47.95,47.95,144,45,6,Late,No,,8.06,30,9.89,0.21,2.20,Italy,3.00
O1004679,19/10/2024,C100888,New,28/01/2024,EU,Instagram,IG_Oct_AthleteDrop,83,1,1,21.15,Workout Rings,Wooden Gymnastic Rings,1,34.48,34.48,15,60,2,On-time,No,,6.81,16,11.67,0.34,1.10,France,1.00
O1004190,21/09/2024,C100137,New,27/06/2024,Domestic,TikTok,TT_Sep_Challenge,56,1,1,14.1,Dip Belt,Weighted Dip Belt,1,38.55,38.55,32,37,2,On-time,No,,5.58,19,13.97,0.36,0.80,Germany,1.00
O1001504,13/04/2024,C100260,Returning,11/12/2024,Domestic,TikTok,TT_Apr_Challenge,167,3,2,42.3,Parallettes,Steel Parallettes,1,73.58,73.58,197,45,2,On-time,No,,8.34,39,26.24,0.36,3.80,Germany,1.00
O1002118,20/05/2024,C101954,Returning,19/10/2024,Domestic,Google,GG_May_Brand,50,1,1,25.85,Clothing,Oversized Hoodie,1,61.04,61.04,430,120,1,On-time,No,,7.08,25,28.96,0.47,0.70,Germany,0.50
O1000151,11/01/2024,C101975,New,29/10/2024,Non-EU,Organic,ORG_Jan_Community,0,0,0,0,Static Bar,Adjustable Static Bar,2,142.35,284.7,114,18,10,Late,No,,21.65,186,77.05,0.27,8.00,USA,5.00
O1000757,25/02/2024,C100641,Returning,20/05/2024,Non-EU,Instagram,IG_Feb_Reels,83,1,1,21.15,Weight Vests,10kg Weighted Vest,1,127.64,127.64,195,36,6,On-time,No,,18.16,74,35.48,0.28,10.00,Norway,3.00
O1005541,06/12/2024,C101794,Returning,04/03/2024,EU,TikTok,TT_Dec_Creators,56,1,1,14.1,Dip Belt,Weighted Dip Belt,1,40.87,40.87,-1,37,3,On-time,No,,9.37,19,12.5,0.31,0.80,Poland,1.50
O1005262,21/11/2024,C100200,New,22/04/2024,Domestic,Organic,ORG_Nov_Community,0,0,0,0,Static Bar,Adjustable Static Bar,1,173.63,173.63,-1,18,1,On-time,No,,8.59,93,72.04,0.41,8.00,Germany,0.50
O1001704,27/04/2024,C101895,Returning,29/07/2024,Domestic,Instagram,IG_Apr_AthleteDrop,83,1,1,21.15,Dip Bars,Steel Dip Bars,1,76.44,76.44,110,27,2,On-time,Yes,Damaged,6.12,48,22.32,0.29,5.00,Germany,1.00
O1005528,05/12/2024,C101181,Returning,15/03/2024,EU,TikTok,TT_Dec_Challenge,56,1,1,14.1,Clothing,Training Tank,2,36.36,72.72,-2,120,2,On-time,No,,9.21,20,43.51,0.60,0.25,Sweden,1.00
O1003159,16/07/2024,C100911,Returning,29/09/2024,Non-EU,Instagram,IG_Jul_Reels,83,1,1,21.15,Parallettes,Wooden Parallettes,1,73.39,73.39,105,45,10,Late,No,,13.04,30,30.35,0.41,2.20,Switzerland,5.00
O1000170,13/01/2024,C101881,New,01/05/2024,EU,TikTok,TT_Jan_Challenge,111,2,1,28.2,Pull Up Bars,Outdoor Pull-Up Bar,1,107.16,107.16,191,30,2,On-time,No,,13.36,78,15.8,0.15,7.00,Austria,1.00
O1003782,27/08/2024,C101568,Returning,16/02/2024,EU,TikTok,TT_Aug_Challenge,56,1,1,14.1,Weight Vests,10kg Weighted Vest,2,118.5,237,50,36,4,On-time,No,,15.81,148,73.19,0.31,10.00,Italy,2.00
O1000377,27/01/2024,C100023,Returning,09/06/2024,Domestic,Instagram,IG_Jan_Giveaway,167,2,1,42.3,Weight Vests,20kg Weighted Vest,2,156.67,313.34,217,36,2,On-time,No,,13.48,196,103.86,0.33,20.00,Germany,1.00
O1002081,18/05/2024,C100011,New,28/03/2024,EU,Instagram,IG_May_AthleteDrop,83,1,1,21.15,Weight Vests,10kg Weighted Vest,1,126.16,126.16,130,36,6,Late,No,,15.28,74,36.88,0.29,10.00,Spain,3.00
O1002432,06/06/2024,C101081,Returning,05/06/2024,Domestic,TikTok,TT_Jun_SparkAds,167,3,1,42.3,Bandages,Wrist Wraps,1,23.21,23.21,289,90,2,On-time,No,,6.26,6,10.95,0.47,0.20,Germany,1.00
O1000860,03/03/2024,C101118,Returning,18/10/2024,Domestic,Instagram,IG_Mar_Reels,83,1,1,21.15,Parallettes,Wooden Parallettes,1,71.62,71.62,238,45,1,On-time,No,,5.34,30,36.28,0.51,2.20,Germany,0.50
O1002125,20/05/2024,C100614,New,05/01/2024,Non-EU,Google,GG_May_Shopping,100,2,1,51.7,Parallettes,Steel Parallettes,3,65.54,196.62,159,45,4,On-time,No,,17.72,117,61.9,0.31,3.80,Norway,2.00
O1004863,31/10/2024,C101729,Returning,08/02/2024,EU,Instagram,IG_Oct_Reels,167,2,1,42.3,Parallettes,Steel Parallettes,1,89.34,89.34,-1,45,5,On-time,No,,9.84,39,40.5,0.45,3.80,Italy,2.50
O1003781,27/08/2024,C100057,Returning,20/09/2024,Domestic,Organic,ORG_Aug_Direct,0,0,0,0,Static Bar,Adjustable Static Bar,1,162.85,162.85,25,18,1,On-time,No,,9.56,93,60.29,0.37,8.00,Germany,0.50
O1000379,27/01/2024,C100982,Returning,12/05/2024,EU,Instagram,IG_Jan_AthleteDrop,167,2,2,42.3,Parallettes,Steel Parallettes,1,61.22,61.22,273,45,4,On-time,No,,11.22,39,11,0.18,3.80,Italy,2.00
O1005861,21/12/2024,C100145,New,18/08/2024,EU,Instagram,IG_Dec_Giveaway,83,1,1,21.15,Clothing,Oversized Hoodie,1,79.98,79.98,-1,120,5,On-time,No,,8.05,25,46.93,0.59,0.70,Italy,2.50
O1004914,03/11/2024,C101588,New,08/03/2024,Non-EU,Organic,ORG_Nov_Direct,0,0,0,0,Weight Vests,20kg Weighted Vest,1,155.38,155.38,-1,36,6,On-time,No,,33.94,98,23.44,0.15,20.00,USA,3.00
O1001295,01/04/2024,C100170,Returning,07/05/2024,EU,Google,GG_Apr_Search,50,1,1,25.85,Dip Belt,Weighted Dip Belt,1,37.78,37.78,174,37,3,On-time,No,,7.03,19,11.75,0.31,0.80,Sweden,1.50
O1004873,01/11/2024,C101929,Returning,06/03/2024,Domestic,TikTok,TT_Nov_SparkAds,56,1,2,14.1,Clothing,Training Tank,1,35.35,35.35,-1,120,1,On-time,No,,5.53,10,19.82,0.56,0.25,Germany,0.50
O1001433,09/04/2024,C100547,New,05/04/2024,Domestic,TikTok,TT_Apr_SparkAds,56,1,1,14.1,Clothing,Performance T-Shirt,1,40.94,40.94,537,120,2,On-time,No,,4.67,11,25.27,0.62,0.30,Germany,1.00
O1002764,23/06/2024,C100463,Returning,16/03/2024,Domestic,Organic,ORG_Jun_Community,0,0,0,0,Clothing,Oversized Hoodie,1,59.28,59.28,340,120,2,On-time,No,,6.72,25,27.56,0.46,0.70,Germany,1.00
O1004236,24/09/2024,C101842,New,22/05/2024,EU,TikTok,TT_Sep_SparkAds,56,1,1,14.1,Resistance Bands,Set of 5 Resistance Bands,1,28.17,28.17,60,75,3,On-time,No,,9.51,13,5.66,0.20,0.90,Netherlands,1.50
O1003007,08/07/2024,C100542,Returning,10/07/2024,Non-EU,TikTok,TT_Jul_SparkAds,56,1,1,14.1,Dip Belt,Weighted Dip Belt,1,46.98,46.98,94,37,7,On-time,No,,16.55,19,11.43,0.24,0.80,UK,3.50
O1001780,01/05/2024,C101251,Returning,26/06/2024,Domestic,TikTok,TT_May_SparkAds,111,2,1,28.2,Clothing,Oversized Hoodie,1,59.83,59.83,479,120,1,On-time,No,,5.23,25,29.6,0.49,0.70,Germany,0.50
O1003149,16/07/2024,C101880,Returning,30/08/2024,EU,TikTok,TT_Jul_Challenge,56,1,1,14.1,Parallettes,Wooden Parallettes,1,72.13,72.13,105,45,4,On-time,No,,8.33,30,33.8,0.47,2.20,Italy,2.00
O1003306,25/07/2024,C100796,Returning,12/10/2024,EU,TikTok,TT_Jul_SparkAds,56,1,1,14.1,Dip Belt,Weighted Dip Belt,1,36.76,36.76,80,37,4,On-time,No,,9.49,19,8.27,0.22,0.80,Sweden,2.00
O1004629,16/10/2024,C100298,Returning,09/06/2024,EU,Organic,ORG_Oct_Blog,0,0,0,0,Workout Rings,Wooden Gymnastic Rings,1,33.31,33.31,19,60,3,On-time,No,,9.19,16,8.12,0.24,1.10,Spain,1.50
O1001819,03/05/2024,C101266,Returning,06/04/2024,EU,Organic,ORG_May_Direct,0,0,0,0,Parallettes,Wooden Parallettes,1,52.22,52.22,178,45,3,On-time,No,,10.98,30,11.24,0.22,2.20,Sweden,1.50
O1003957,07/09/2024,C100318,Returning,13/08/2024,Domestic,Instagram,IG_Sep_Reels,83,1,1,21.15,Better Grip,Liquid Chalk,1,15.28,15.28,123,105,1,On-time,No,,5.77,4,5.51,0.36,0.35,Germany,0.50
O1000842,02/03/2024,C100959,Returning,03/09/2024,EU,TikTok,TT_Mar_Creators,56,1,1,14.1,Workout Accessories,Chalk Block,1,14.3,14.3,358,67,3,On-time,No,,7.54,4,2.76,0.19,0.30,Sweden,1.50
O1004114,16/09/2024,C100201,Returning,10/04/2024,Domestic,TikTok,TT_Sep_Creators,111,2,1,28.2,Clothing,Performance T-Shirt,1,42.84,42.84,118,120,2,On-time,No,,6.75,11,25.09,0.59,0.30,Germany,1.00
O1001190,25/03/2024,C100875,Returning,18/10/2024,EU,Instagram,IG_Mar_Reels,83,1,1,21.15,Static Bar,Adjustable Static Bar,2,172.49,344.98,85,18,4,On-time,No,,13.03,186,145.95,0.42,8.00,Netherlands,2.00
O1000176,13/01/2024,C101941,Returning,09/02/2024,Domestic,Organic,ORG_Jan_Blog,0,0,0,0,Workout Accessories,Athlete Backpack,1,51.07,51.07,430,67,2,On-time,No,,6.67,19,25.4,0.50,0.90,Germany,1.00
O1002378,03/06/2024,C101699,Returning,29/08/2024,EU,Google,GG_Jun_Search,100,2,1,51.7,Clothing,Oversized Hoodie,2,75.63,151.26,392,120,4,On-time,No,,9.33,50,91.93,0.61,0.70,Sweden,2.00
O1006038,30/12/2024,C101882,Returning,26/05/2024,Non-EU,TikTok,TT_Dec_Creators,111,2,1,28.2,Parallettes,Wooden Parallettes,1,64.42,64.42,-1,45,10,Late,No,,12.07,30,22.35,0.35,2.20,USA,5.00
O1000928,07/03/2024,C100466,Returning,26/03/2024,Domestic,TikTok,TT_Mar_SparkAds,56,1,1,14.1,Clothing,Training Tank,1,26.29,26.29,624,120,2,On-time,No,,4.32,10,11.97,0.46,0.25,Germany,1.00
O1003333,27/07/2024,C100827,Returning,01/07/2024,Domestic,Google,GG_Jul_Shopping,100,2,1,51.7,Resistance Bands,Set of 5 Resistance Bands,1,33.6,33.6,157,75,3,On-time,No,,4.67,13,15.93,0.47,0.90,Germany,1.50
O1000046,04/01/2024,C100864,New,30/04/2024,EU,Instagram,IG_Jan_AthleteDrop,167,2,1,42.3,Resistance Bands,Set of 5 Resistance Bands,2,26.68,53.36,492,75,2,On-time,No,,9.4,26,17.96,0.34,0.90,Austria,1.00
O1001261,30/03/2024,C101603,Returning,25/01/2024,Domestic,TikTok,TT_Mar_Challenge,56,1,1,14.1,Clothing,Joggers,1,71.26,71.26,563,120,1,On-time,No,,4.52,21,45.74,0.64,0.60,Germany,0.50
